Gene	Class
WASF1	ASD_SC
WDR26	ASD_SC
XPC	ASD_SC
YWHAG	ASD_SC
YY1	ASD_SC
ZBTB20	ASD_SC
ZBTB7A	ASD_SC
ZMIZ1	ASD_SC
ZMYM2	ASD_SC
ZNF292	ASD_SC
ZNF462	ASD_SC
ZSWIM6	ASD_SC
AFF2	ASD_SC
ANK2	ASD_SC
ANK3	ASD_SC
AP2S1	ASD_SC
ASH1L	ASD_SC
ATRX	ASD_SC
AUTS2	ASD_SC
BAZ2B	ASD_SC
BCKDK	ASD_SC
CACNA1E	ASD_SC
CACNA2D3	ASD_SC
CAPRIN1	ASD_SC
CASK	ASD_SC
CASZ1	ASD_SC
CELF4	ASD_SC
CORO1A	ASD_SC
CSNK2A1	ASD_SC
CTNNB1	ASD_SC
CUL3	ASD_SC
DIP2A	ASD_SC
DLG4	ASD_SC
DPYSL2	ASD_SC
DSCAM	ASD_SC
DYNC1H1	ASD_SC
EIF3G	ASD_SC
ELAVL3	ASD_SC
FOXP2	ASD_SC
GABRB2	ASD_SC
GABRB3	ASD_SC
GFAP	ASD_SC
GIGYF1	ASD_SC
GIGYF2	ASD_SC
GNAI1	ASD_SC
GRIA2	ASD_SC
GRIN1	ASD_SC
GRIN2A	ASD_SC
GRIN2B	ASD_SC
HDLBP	ASD_SC
HECTD4	ASD_SC
HNRNPH2	ASD_SC
HRAS	ASD_SC
KATNAL2	ASD_SC
KCNQ3	ASD_SC
KDM5B	ASD_SC
KDM5C	ASD_SC
KDM6B	ASD_SC
KIAA0232	ASD_SC
KMT5B	ASD_SC
LDB1	ASD_SC
LRRC4C	ASD_SC
LZTR1	ASD_SC
MAP1A	ASD_SC
MKX	ASD_SC
MSL3	ASD_SC
MYT1L	ASD_SC
NCKAP1	ASD_SC
NCOA1	ASD_SC
NEXMIF	ASD_SC
NLGN2	ASD_SC
NLGN3	ASD_SC
NLGN4X	ASD_SC
NR4A2	ASD_SC
NRXN1	ASD_SC
NRXN2	ASD_SC
NRXN3	ASD_SC
NUP155	ASD_SC
PAH	ASD_SC
PAX5	ASD_SC
PHF12	ASD_SC
PHF2	ASD_SC
PHF3	ASD_SC
PPP1R9B	ASD_SC
PPP5C	ASD_SC
PTCHD1	ASD_SC
PTK7	ASD_SC
RALGAPB	ASD_SC
RELN	ASD_SC
RFX3	ASD_SC
RIMS1	ASD_SC
SATB1	ASD_SC
SCN2A	ASD_SC
SCN8A	ASD_SC
SETBP1	ASD_SC
SETD1A	ASD_SC
SETD2	ASD_SC
SHANK2	ASD_SC
SKI	ASD_SC
SMARCA4	ASD_SC
SPAST	ASD_SC
