Gene	Cluster
Diaph3	Cluster_0
Dach1	Cluster_0
Ednrb	Cluster_0
Spry2	Cluster_0
Cldn10	Cluster_0
Clybl	Cluster_0
Gm5089	Cluster_0
Slc1a3	Cluster_0
Ranbp3l	Cluster_0
Nadk2	Cluster_0
Myo10	Cluster_0
Sdc2	Cluster_0
Cpq	Cluster_0
Zhx2	Cluster_0
Cyp2d22	Cluster_0
Ttll8	Cluster_0
Mlc1	Cluster_0
Abcd2	Cluster_0
Dbx2	Cluster_0
Rapgef3	Cluster_0
Abat	Cluster_0
Prodh	Cluster_0
Lpp	Cluster_0
Atp13a4	Cluster_0
Tmem44	Cluster_0
Itgb5	Cluster_0
Slc15a2	Cluster_0
Arhgap31	Cluster_0
Igsf11	Cluster_0
Tagln3	Cluster_0
Hunk	Cluster_0
Lix1	Cluster_0
Pgp	Cluster_0
Caskin1	Cluster_0
Atp6v0e	Cluster_0
Cbs	Cluster_0
Cyp4f15	Cluster_0
Pla2g7	Cluster_0
Vegfa	Cluster_0
Daam2	Cluster_0
Pdzph1	Cluster_0
Rab31	Cluster_0
Ltbp1	Cluster_0
Atl2	Cluster_0
Foxn2	Cluster_0
Zfp438	Cluster_0
Arhgap12	Cluster_0
Abhd3	Cluster_0
Cables1	Cluster_0
Lama3	Cluster_0
Zfp521	Cluster_0
Aqp4	Cluster_0
Ctnna1	Cluster_0
Psd2	Cluster_0
Fgf1	Cluster_0
Tnfaip8	Cluster_0
Gramd3	Cluster_0
Aldh7a1	Cluster_0
Megf10	Cluster_0
Pdgfrb	Cluster_0
Mro	Cluster_0
Gm9925	Cluster_0
Sall3	Cluster_0
Asrgl1	Cluster_0
Fads2	Cluster_0
Rorb	Cluster_0
Ptar1	Cluster_0
Tjp2	Cluster_0
Kank1	Cluster_0
Glis3	Cluster_0
Gldc	Cluster_0
Ppp1r3c	Cluster_0
Scd2	Cluster_0
Gpam	Cluster_0
Tcf7l2	Cluster_0
Gfra1	Cluster_0
Shroom4	Cluster_0
Slitrk2	Cluster_0
Tmem47	Cluster_0
Gk	Cluster_0
Eda	Cluster_0
Phka1	Cluster_0
Tmem164	Cluster_0
Chrdl1	Cluster_0
Shroom2	Cluster_0
Sat1	Cluster_0
Mid1	Cluster_0
Tcea1	Cluster_1
