Gene	Cluster
SASH1	Cluster_0
SAT1	Cluster_0
SCD	Cluster_0
SDC2	Cluster_0
SDC4	Cluster_0
SERPINE2	Cluster_0
SFXN1	Cluster_0
SFXN5	Cluster_0
SH3PXD2B	Cluster_0
SHROOM2	Cluster_0
SHROOM4	Cluster_0
SLC15A2	Cluster_0
SLC1A3	Cluster_0
SLC1A4	Cluster_0
SLC25A18	Cluster_0
SLC27A1	Cluster_0
SLC30A10	Cluster_0
SLC38A3	Cluster_0
SLC39A12	Cluster_0
SLC6A1	Cluster_0
SLC6A11	Cluster_0
SLC7A10	Cluster_0
SLC7A11	Cluster_0
SLC7A2	Cluster_0
SLCO1C1	Cluster_0
SLITRK2	Cluster_0
SMOX	Cluster_0
SMPDL3A	Cluster_0
SOAT1	Cluster_0
SOX2	Cluster_0
SOX6	Cluster_0
SOX9	Cluster_0
SPRY2	Cluster_0
ST3GAL4	Cluster_0
STON2	Cluster_0
SUGCT	Cluster_0
TAGLN3	Cluster_0
TCF7L1	Cluster_0
TCF7L2	Cluster_0
TEAD1	Cluster_0
THRSP	Cluster_0
TIMP3	Cluster_0
TIPARP	Cluster_0
TJP2	Cluster_0
TLCD1	Cluster_0
TLE1	Cluster_0
TMC7	Cluster_0
TMEM164	Cluster_0
TMEM44	Cluster_0
TMEM47	Cluster_0
TNFAIP8	Cluster_0
TNFRSF19	Cluster_0
TOX2	Cluster_0
TPRKB	Cluster_0
TRIB2	Cluster_0
TRIL	Cluster_0
TP53BP2	Cluster_0
TSC22D4	Cluster_0
TSPAN9	Cluster_0
TTLL8	Cluster_0
TULP3	Cluster_0
UBC	Cluster_0
UGP2	Cluster_0
UNC13C	Cluster_0
USP54	Cluster_0
UTP14C	Cluster_0
UTP14A	Cluster_0
VAV3	Cluster_0
VCAM1	Cluster_0
VCL	Cluster_0
VEGFA	Cluster_0
WASHC2A	Cluster_0
WASHC2C	Cluster_0
WWTR1	Cluster_0
YAP1	Cluster_0
ZCCHC24	Cluster_0
ZFP36L1	Cluster_0
ZNF438	Cluster_0
ZNF521	Cluster_0
ZHX2	Cluster_0
NCBP2AS2	Cluster_1
C11orf58	Cluster_1
C11orf1	Cluster_1
C8orf33	Cluster_1
C16orf72	Cluster_1
C4orf3	Cluster_1
C12orf43	Cluster_1
C15orf61	Cluster_1
C3orf70	Cluster_1
KIAA0100	Cluster_1
C3orf14	Cluster_1
C5orf22	Cluster_1
AASDHPPT	Cluster_1
AATF	Cluster_1
ABCA8	Cluster_1
ABCD3	Cluster_1
ABCE1	Cluster_1
ABCF1	Cluster_1
ABHD16A	Cluster_1
ABLIM3	Cluster_1
ACAP3	Cluster_1
ACBD3	Cluster_1
ACOT7	Cluster_1
ACSL1	Cluster_1
ACSS2	Cluster_1
