Gene	Cell
ROBO1	Astro_Gja1
ROCK2	Astro_Gja1
RPL13	Astro_Gja1
RPL22	Astro_Gja1
RPL30	Astro_Gja1
RPL36A	Astro_Gja1
RPS13	Astro_Gja1
RPS15	Astro_Gja1
RPS20	Astro_Gja1
RPS21	Astro_Gja1
RPS24	Astro_Gja1
RPS26	Astro_Gja1
RPS9	Astro_Gja1
RRAGB	Astro_Gja1
RTN3	Astro_Gja1
RUNX2	Astro_Gja1
SAR1A	Astro_Gja1
SDHAF1	Astro_Gja1
SEC62	Astro_Gja1
SELENOK	Astro_Gja1
SELENOM	Astro_Gja1
SERINC1	Astro_Gja1
SETSIP	Astro_Gja1
SGTB	Astro_Gja1
SLC20A2	Astro_Gja1
SLC3A2	Astro_Gja1
SLC41A2	Astro_Gja1
SLC4A3	Astro_Gja1
SMAP2	Astro_Gja1
SMIM26	Astro_Gja1
SMPDL3A	Astro_Gja1
SNRPE	Astro_Gja1
SNX10	Astro_Gja1
SOD1	Astro_Gja1
SORL1	Astro_Gja1
SPARC	Astro_Gja1
SPATA7	Astro_Gja1
SRP14	Astro_Gja1
SRSF7	Astro_Gja1
SSR2	Astro_Gja1
ST3GAL4	Astro_Gja1
STRAP	Astro_Gja1
STX1B	Astro_Gja1
SUMO3	Astro_Gja1
SWI5	Astro_Gja1
TAF10	Astro_Gja1
TBCB	Astro_Gja1
THRA	Astro_Gja1
TM9SF3	Astro_Gja1
TMCC3	Astro_Gja1
TMED4	Astro_Gja1
TMEM109	Astro_Gja1
TMEM14C	Astro_Gja1
TMEM176B	Astro_Gja1
TMEM222	Astro_Gja1
TMEM240	Astro_Gja1
TMEM258	Astro_Gja1
TMEM259	Astro_Gja1
TMEM38A	Astro_Gja1
TNC	Astro_Gja1
TNRC6A	Astro_Gja1
TOMM22	Astro_Gja1
TPI1	Astro_Gja1
TPM1	Astro_Gja1
TRAPPC4	Astro_Gja1
TRAPPC5	Astro_Gja1
TST	Astro_Gja1
TTLL7	Astro_Gja1
TUBB2A	Astro_Gja1
UBE2M	Astro_Gja1
UBQLN2	Astro_Gja1
UBXN1	Astro_Gja1
UFC1	Astro_Gja1
UQCRFS1	Astro_Gja1
UQCRHL	Astro_Gja1
UQCRH	Astro_Gja1
UQCRQ	Astro_Gja1
USP22	Astro_Gja1
YIF1B	Astro_Gja1
YPEL3	Astro_Gja1
YWHAQ	Astro_Gja1
YWHAZ	Astro_Gja1
ZBTB16	Astro_Gja1
ZDHHC9	Astro_Gja1
ZFHX3	Astro_Gja1
ZNF32	Astro_Gja1
ZNF697	Astro_Gja1
ZFYVE19	Astro_Gja1
ACTB	Exc_L3_Calb1
ARMC8	Exc_L3_Calb1
ATP2C1	Exc_L3_Calb1
ATP5F1D	Exc_L3_Calb1
C1QL3	Exc_L3_Calb1
CALM3	Exc_L3_Calb1
COX5A	Exc_L3_Calb1
CTNNA3	Exc_L3_Calb1
DCC	Exc_L3_Calb1
DCTN3	Exc_L3_Calb1
DPYD	Exc_L3_Calb1
