Cells	Colors
1	Exc_L5_Il1rapl2	#7D92A7
2	Exc_L3_Ntng1	#DA78DF
3	Exc_L3_Calb1	#B9E085
4	Exc_L2_Cux2	#68CDDC
5	Exc_L6_Foxp2	#DA8DBD
6	Inh_Pvalb	#67E09B
7	Inh_Sst	#D58783
8	Inh_Lamp5	#E0CA93
9	Exc_L6_Fezf2	#E2D94C
10	Inh_Vip	#DF4F97
11	ImmOligo_Bcas1	#DD8445
12	Endo_Flt1	#86EA52
13	Oligo_Mobp	#84EDD9
14	Astro_Gja1	#7947DD
15	OPC_Vcan	#D9B8E9
16	VLMC_Cped1	#6AA8E3
17	VLMC_Slc7a11	#DDC1BD
18	Astro_Id3	#CCEBD2
19	Micro_C1qc	#CE40DA
20	Micro_Mrc1	#837FDA
21	Peri_Vtn	#7FA07D
22	Endo_Cldn5	#D4DCEB
